Datetime,CO,DVP,NO,NO2,NOx,O3,SO2,T,RH,VVP
11/07/2020 21,0.116,258,2,5,6,57,3,21,62,1.4
11/07/2020 22,0.116,125,2,11,12,32,3,19,79,1
11/07/2020 23,0.116,118,2,14,15,22,3,18,89,0.9
12/07/2020 00,0.116,116,2,12,14,22,3,17,90,1.1
12/07/2020 01,0.116,134,2,10,12,22,3,17,91,1
12/07/2020 02,0.116,139,2,9,11,21,3,16,94,1
12/07/2020 03,0.116,143,2,7,9,23,3,16,92,0.8
12/07/2020 04,0.116,106,2,7,8,22,3,16,94,1.1
12/07/2020 05,0.116,106,2,7,8,23,3,15,92,0.9
12/07/2020 06,0.116,101,2,6,8,23,3,16,88,0.8
12/07/2020 07,0.116,123,2,5,7,36,3,20,69,0.9
12/07/2020 08,0.116,163,2,5,8,44,3,21,57,1.2
12/07/2020 09,0.116,157,2,5,8,50,3,23,51,1.2
12/07/2020 10,0.116,294,2,5,7,60,3,24,48,1.2
12/07/2020 11,0.116,284,2,5,8,72,3,24,52,1.8
12/07/2020 12,0.116,291,2,5,7,82,3,25,51,1.6
12/07/2020 13,0.116,305,2,6,8,90,3,25,50,1.6
12/07/2020 14,0.116,332,2,5,6,94,3,26,44,1.4
12/07/2020 15,0.116,328,2,4,6,98,3,26,43,1.5
12/07/2020 16,0.116,291,2,5,6,100,3,27,42,1.4
12/07/2020 17,0.116,313,2,5,7,101,3,27,41,1.4
12/07/2020 18,0.116,284,2,7,8,100,3,26,42,1.2
12/07/2020 19,0.116,164,2,5,6,99,3,25,43,1.5
12/07/2020 20,0.116,194,2,6,7,92,3,23,47,1.3
12/07/2020 21,0.116,128,2,10,11,78,3,22,53,0.9
12/07/2020 22,0.116,103,2,13,14,64,3,21,58,0.8
12/07/2020 23,0.116,129,2,12,13,59,3,20,64,0.9
13/07/2020 00,0.116,184,2,10,11,55,3,20,66,0.7
13/07/2020 01,0.116,101,2,10,11,48,3,20,71,0.7
13/07/2020 02,0.116,139,2,8,9,55,3,20,68,0.7
13/07/2020 03,0.116,142,2,4,5,69,3,21,52,1.4
13/07/2020 04,0.116,108,2,6,7,51,3,19,65,0.9
13/07/2020 05,0.116,121,2,7,8,46,3,18,75,1.1
13/07/2020 06,0.116,136,2,7,8,47,3,18,74,1
13/07/2020 07,0.116,146,2,11,14,43,3,20,71,1
13/07/2020 08,0.116,182,2,11,14,48,3,21,66,0.7
13/07/2020 09,0.116,200,2,10,13,58,3,22,55,1
13/07/2020 10,0.116,161,2,6,8,73,3,23,42,1.7
13/07/2020 11,0.116,175,2,4,5,80,3,24,39,1.8
13/07/2020 12,,294,2,4,5,86,3,26,35,1.5
13/07/2020 13,0.116,300,2,5,6,94,3,25,38,1.9
13/07/2020 14,0.116,303,2,5,7,104,3,25,38,1.7
13/07/2020 15,0.116,301,2,6,7,110,3,26,37,1.5
13/07/2020 16,0.116,295,2,6,8,109,3,26,36,1.4
13/07/2020 17,0.116,292,2,7,8,112,3,26,37,1.4
13/07/2020 18,0.116,293,2,7,9,119,3,25,38,1.3
13/07/2020 19,0.116,332,2,8,9,116,3,25,40,0.9
13/07/2020 20,0.116,199,2,8,9,95,3,23,44,0.7
13/07/2020 21,0.116,114,2,11,13,67,3,20,59,0.8
13/07/2020 22,0.116,102,2,11,13,65,3,19,63,0.9
13/07/2020 23,0.116,126,2,8,10,67,3,19,60,0.9
14/07/2020 00,0.116,155,2,8,9,65,3,19,62,1.2
14/07/2020 01,0.116,131,2,7,8,65,3,19,62,1
14/07/2020 02,0.116,123,2,7,8,65,3,19,62,0.9
14/07/2020 03,0.116,127,2,7,9,62,3,19,63,1
14/07/2020 04,0.116,141,2,12,13,54,3,18,70,1.1
14/07/2020 05,0.116,238,2,14,16,51,3,18,79,0
14/07/2020 06,,82,2,15,17,50,3,18,81,0.6
14/07/2020 07,0.116,131,2,15,17,57,3,19,77,1
14/07/2020 08,0.116,152,2,16,20,58,3,20,70,1.1
14/07/2020 09,0.116,150,2,12,14,72,3,21,61,1.1
14/07/2020 10,0.116,197,2,10,12,72,3,22,59,0.7
14/07/2020 11,0.116,283,2,10,12,74,3,23,58,1
14/07/2020 12,0.116,289,2,7,9,85,3,23,52,1.5
14/07/2020 13,0.116,281,2,6,8,98,3,24,46,1.5
14/07/2020 14,0.116,294,2,6,7,109,3,24,39,1.5
14/07/2020 15,0.116,292,2,8,10,116,3,25,39,1.6
14/07/2020 16,0.116,292,2,5,7,109,3,25,37,1.6
14/07/2020 17,0.116,283,2,5,6,110,3,24,38,1.3
14/07/2020 18,0.116,263,2,7,8,115,3,24,40,0.8
14/07/2020 19,0.116,191,2,6,8,103,3,24,45,0.8
14/07/2020 20,0.116,173,2,8,10,90,3,21,56,1
14/07/2020 21,0.116,104,2,10,11,83,3,20,63,0.9
14/07/2020 22,0.116,129,2,11,13,82,3,20,62,1
14/07/2020 23,0.116,134,2,9,10,83,3,19,62,1
15/07/2020 00,0.116,151,2,8,9,88,3,20,60,1.2
15/07/2020 01,0.116,122,2,10,11,86,3,20,59,1.5
15/07/2020 02,0.116,136,2,13,14,77,3,20,61,1.4
15/07/2020 03,0.116,158,3,12,13,76,3,19,62,1.4
15/07/2020 04,0.116,149,2,13,14,73,3,19,64,1.5
15/07/2020 05,0.116,166,2,14,15,72,3,19,65,1.6
15/07/2020 06,0.116,169,2,16,18,67,3,19,66,1
15/07/2020 07,0.116,166,2,21,23,59,3,19,66,1
15/07/2020 08,0.116,129,2,21,24,56,3,20,65,1
15/07/2020 09,0.116,179,2,16,20,60,3,21,63,1.9
15/07/2020 10,0.116,164,2,13,16,72,3,22,58,0.9
15/07/2020 11,0.116,257,2,11,14,83,3,24,50,0.9
15/07/2020 12,0.116,294,2,7,9,99,3,25,45,1.4
15/07/2020 13,0.116,283,2,6,8,106,3,25,37,1.7
15/07/2020 14,0.116,292,2,7,9,123,3,26,39,1.6
15/07/2020 15,0.116,312,2,7,8,131,3,27,38,1.4
15/07/2020 16,0.116,275,2,6,8,130,3,27,38,1.2
15/07/2020 17,0.116,30,2,6,8,107,3,26,40,1.8
15/07/2020 18,0.116,46,2,7,9,105,3,25,43,1.5
15/07/2020 19,0.116,47,2,9,11,95,3,24,51,1.1
15/07/2020 20,0.116,129,2,17,19,88,3,22,58,1.2
15/07/2020 21,0.116,131,2,20,21,75,3,21,65,1.2
15/07/2020 22,0.116,144,2,18,20,71,3,21,68,1.1
15/07/2020 23,0.116,124,2,16,18,62,3,20,73,1.1
16/07/2020 00,0.116,148,2,12,13,76,3,20,70,1.4
16/07/2020 01,0.116,118,2,12,13,70,3,19,71,1.1
16/07/2020 02,0.116,110,2,11,13,62,3,19,75,0.9
16/07/2020 03,0.116,150,3,11,12,65,3,19,73,1.2
16/07/2020 04,0.116,129,2,11,12,57,3,18,76,1
16/07/2020 05,0.116,106,2,10,12,54,3,18,79,1
16/07/2020 06,0.116,92,2,9,11,52,3,19,77,0.7
16/07/2020 07,0.116,155,2,15,19,47,3,20,67,0.9
16/07/2020 08,0.116,142,3,14,19,51,3,22,62,0.9
16/07/2020 09,0.116,294,2,11,14,62,3,23,59,1.2
16/07/2020 10,0.116,298,2,8,11,78,3,23,60,1.4
16/07/2020 11,0.116,289,2,7,9,102,3,25,52,1.4
16/07/2020 12,0.116,292,2,8,10,121,3,25,51,1.5
16/07/2020 13,0.116,289,2,8,9,135,3,26,49,1.5
16/07/2020 14,0.116,294,2,8,10,144,3,26,49,1.3
16/07/2020 15,0.116,292,2,9,12,143,3,27,46,1.3
16/07/2020 16,0.116,289,2,8,9,145,3,27,45,1.3
16/07/2020 17,0.116,284,2,8,9,146,3,26,47,1.2
16/07/2020 18,0.116,284,2,9,11,148,3,27,46,1.1
16/07/2020 19,0.116,179,2,11,12,132,3,25,55,0.7
16/07/2020 20,0.1,182,2,14,15,103,3,23,66,0.6
16/07/2020 21,0.1,115,2,13,15,98,3,23,68,1
16/07/2020 22,0.116,122,2,11,13,98,3,23,67,0.9
16/07/2020 23,0.116,160,2,10,12,108,3,23,68,1.8
17/07/2020 00,0.116,60,2,8,10,102,3,22,73,1.4
17/07/2020 01,0.116,53,2,8,9,83,3,21,79,0.8
17/07/2020 02,0.116,145,2,7,9,70,3,20,86,0.7
17/07/2020 03,0.116,131,3,6,8,72,3,20,86,0.8
17/07/2020 04,0.116,157,2,14,15,53,3,21,85,1
17/07/2020 05,0.116,130,2,15,16,53,3,21,83,1
17/07/2020 06,0.116,124,2,15,17,45,3,20,85,1.3
17/07/2020 07,0.116,129,2,20,23,38,3,21,84,0.9
17/07/2020 08,0.116,292,2,19,23,59,3,21,84,1
17/07/2020 09,0.116,287,3,19,24,63,3,22,78,1.2
17/07/2020 10,0.116,290,3,18,23,71,3,23,75,1.5
17/07/2020 11,0.116,297,2,12,14,91,3,23,73,1.5
17/07/2020 12,0.116,331,2,8,10,108,3,24,67,1.5
17/07/2020 13,0.116,333,2,7,9,115,3,24,63,1.3
17/07/2020 14,0.116,53,2,8,9,113,3,25,60,1.2
17/07/2020 15,0.116,85,2,8,10,99,3,25,61,1
17/07/2020 16,0.116,170,2,6,8,106,3,25,58,1.5
17/07/2020 17,0.116,143,2,6,8,104,3,25,55,1.8
17/07/2020 18,0.116,136,2,7,9,96,3,25,53,1.7
17/07/2020 19,0.116,159,2,7,8,89,3,24,51,1.8
17/07/2020 20,0.116,140,2,7,8,84,3,23,53,1.8
17/07/2020 21,0.116,132,2,5,6,85,3,22,61,2.4
17/07/2020 22,0.116,132,2,7,8,71,3,20,74,1.3
17/07/2020 23,0.116,124,2,8,10,59,3,20,75,1.4
18/07/2020 00,0.116,130,2,7,9,54,3,19,88,1.2
18/07/2020 01,0.116,125,2,7,9,51,3,18,90,1.5
18/07/2020 02,0.116,265,2,6,7,42,3,18,94,0.6
18/07/2020 03,0.116,157,2,5,7,37,3,17,95,0.7
18/07/2020 04,0.116,118,2,5,7,26,3,17,95,0.8
18/07/2020 05,0.116,121,2,5,7,33,3,17,95,1
18/07/2020 06,0.116,123,2,6,7,32,3,17,92,1.1
18/07/2020 07,0.116,151,2,7,9,44,3,19,82,1
18/07/2020 08,0.116,160,2,6,8,65,3,21,63,1.3
18/07/2020 09,0.116,279,2,4,6,74,3,22,53,1.1
18/07/2020 10,0.116,293,2,6,8,77,3,22,56,1.4
18/07/2020 11,0.116,295,2,5,7,87,3,23,52,1.5
18/07/2020 12,0.116,294,2,4,6,92,3,24,49,1.7
18/07/2020 13,0.116,299,2,4,6,97,3,25,46,1.5
18/07/2020 14,0.116,299,2,4,6,101,3,26,43,1.7
18/07/2020 15,0.116,291,2,5,6,109,3,26,43,1.9
18/07/2020 16,0.116,288,2,5,7,111,3,26,42,2.1
18/07/2020 17,0.116,293,2,6,8,113,3,27,41,1.8
18/07/2020 18,0.116,281,2,7,9,114,3,26,44,1.7
18/07/2020 19,0.116,191,2,8,10,108,3,25,48,1.1
18/07/2020 20,0.116,118,2,17,19,73,3,23,61,1.1
18/07/2020 21,0.116,147,2,12,13,72,3,21,67,1.1
18/07/2020 22,0.116,197,2,12,13,66,3,20,69,0.8
18/07/2020 23,0.116,150,2,14,16,55,3,19,74,0.9
19/07/2020 00,0.116,116,2,14,16,47,3,18,79,1.1
19/07/2020 01,0.116,125,2,13,15,47,3,17,80,1
19/07/2020 02,0.116,123,2,9,11,53,3,17,80,1.1
19/07/2020 03,,138,3,6,8,57,3,17,80,1.4
19/07/2020 04,0.116,127,2,6,8,61,3,17,77,1.3
19/07/2020 05,0.116,128,2,6,7,59,3,17,76,1.3
19/07/2020 06,0.116,147,2,8,10,58,3,17,76,1.6
19/07/2020 07,0.116,129,2,8,11,56,3,19,69,1.6
19/07/2020 08,0.116,130,2,9,13,62,3,21,63,1.4
19/07/2020 09,0.116,86,2,5,7,83,3,23,50,1
19/07/2020 10,0.116,290,2,6,8,86,3,24,49,1.6
19/07/2020 11,0.116,294,2,6,8,96,3,25,46,1.8
19/07/2020 12,0.116,289,2,5,8,103,3,26,43,1.9
19/07/2020 13,0.116,289,2,5,8,113,3,27,40,1.9
19/07/2020 14,0.116,284,3,5,9,118,3,27,40,1.9
19/07/2020 15,0.116,331,3,5,9,119,3,28,38,1.7
19/07/2020 16,0.116,293,3,5,9,121,3,28,38,1.6
19/07/2020 17,0.116,292,3,6,10,129,3,28,37,1.7
19/07/2020 18,0.116,289,2,6,9,135,3,28,38,1.4
19/07/2020 19,0.116,219,2,9,12,127,3,27,41,1.3
19/07/2020 20,0.1,58,2,15,17,94,3,24,55,1.2
19/07/2020 21,0.116,119,2,13,15,88,3,23,63,1.3
19/07/2020 22,0.116,153,2,11,13,92,3,23,62,1.5
19/07/2020 23,0.116,163,2,14,15,82,3,22,65,1.5
20/07/2020 00,0.116,107,2,14,16,67,3,21,72,1.3
20/07/2020 01,0.116,119,2,11,12,66,3,21,74,1.2
20/07/2020 02,0.116,97,2,9,10,64,3,21,76,1.1
20/07/2020 03,0.116,126,2,7,9,61,3,20,76,1.3
20/07/2020 04,0.116,124,2,6,8,64,3,20,75,1.4
20/07/2020 05,0.116,109,2,6,8,65,3,19,76,1.5
20/07/2020 06,0.116,120,2,17,19,61,3,20,73,1.8
20/07/2020 07,0.116,153,3,22,27,57,3,21,68,1.9
20/07/2020 08,0.116,157,3,19,24,68,3,23,61,1.5
20/07/2020 09,0.116,180,3,15,19,82,3,25,54,1.5
20/07/2020 10,0.116,315,2,11,14,96,3,26,53,1.7
20/07/2020 11,0.116,293,2,8,10,112,3,27,47,2
20/07/2020 12,0.116,283,2,8,10,132,3,28,45,1.9
20/07/2020 13,0.116,309,2,8,11,143,3,29,44,1.7
20/07/2020 14,0.116,285,2,7,11,147,3,30,42,2
20/07/2020 15,0.116,318,2,7,10,149,3,30,41,1.7
20/07/2020 16,0.116,280,2,6,9,149,3,31,39,1.6
20/07/2020 17,0.116,246,2,6,9,154,3,30,40,1.7
20/07/2020 18,0.116,230,2,7,8,155,3,29,40,1.5
20/07/2020 19,0.116,197,2,8,10,149,3,29,41,1
20/07/2020 20,0.116,99,2,15,17,102,3,26,57,1
20/07/2020 21,0.116,104,2,14,16,94,3,24,67,1.3
20/07/2020 22,0.116,122,2,11,13,97,3,23,68,1.3
20/07/2020 23,0.116,120,2,10,12,93,3,22,70,1.2
21/07/2020 00,0.116,109,2,14,16,75,3,22,74,1
21/07/2020 01,0.116,109,2,12,14,65,3,21,80,1.1
21/07/2020 02,0.116,124,2,10,11,74,3,20,82,1.4
21/07/2020 03,0.116,137,2,7,9,82,3,21,78,1.3
21/07/2020 04,0.116,121,2,8,10,80,3,20,80,1.6
21/07/2020 05,0.116,123,2,8,9,81,3,20,79,1.5
21/07/2020 06,0.116,137,2,10,12,74,3,20,80,1.2
21/07/2020 07,0.116,135,2,16,19,74,3,22,71,1.8
21/07/2020 08,0.116,157,3,22,27,75,3,24,64,1.4
21/07/2020 09,0.116,306,2,15,19,94,3,26,56,1.5
21/07/2020 10,0.116,319,6,11,18,114,3,27,55,1.7
21/07/2020 11,0.116,303,2,8,10,130,3,28,50,1.7
21/07/2020 12,0.116,291,2,5,8,141,3,29,45,1.9
21/07/2020 13,0.116,292,2,8,11,157,3,30,45,1.8
21/07/2020 14,0.116,300,3,8,12,165,3,31,44,1.8
21/07/2020 15,0.116,292,3,6,10,157,3,31,42,1.9
21/07/2020 16,0.116,299,3,8,12,152,3,32,40,1.5
21/07/2020 17,0.116,294,2,7,10,155,3,31,41,1.6
21/07/2020 18,0.116,129,2,5,7,116,3,28,39,2.5
21/07/2020 19,0.116,163,2,8,10,103,3,26,47,1.8
21/07/2020 20,0.116,166,2,13,15,90,3,24,61,2
21/07/2020 21,0.116,150,2,12,14,83,3,23,68,1.9
21/07/2020 22,0.116,156,2,12,14,73,3,22,71,1.9
21/07/2020 23,0.116,120,2,11,12,70,3,22,74,2.3
22/07/2020 00,0.116,149,2,11,13,67,3,22,76,1.7
22/07/2020 01,0.116,129,2,10,12,65,3,21,76,1.6
22/07/2020 02,0.116,126,2,11,13,59,3,21,78,1.5
22/07/2020 03,0.116,141,2,10,12,59,3,21,78,1.6
22/07/2020 04,0.116,153,2,9,11,56,3,20,79,1.4
22/07/2020 05,0.116,119,2,9,11,57,3,20,80,1.4
22/07/2020 06,0.116,155,2,11,13,55,3,21,76,1.6
22/07/2020 07,0.116,164,2,15,17,49,3,22,74,1.4
22/07/2020 08,0.116,180,3,18,22,46,3,22,71,1.3
22/07/2020 09,0.116,165,4,14,19,56,3,25,62,1.5
22/07/2020 10,0.116,303,3,12,16,71,3,27,54,1.5
22/07/2020 11,0.116,292,2,9,12,92,3,27,52,1.8
22/07/2020 12,0.116,293,2,8,11,115,3,29,49,1.9
22/07/2020 13,0.116,290,2,10,13,147,4,29,48,2.1
22/07/2020 14,0.116,294,3,8,12,150,3,30,43,2.1
22/07/2020 15,0.116,292,2,7,11,156,3,31,42,1.8
22/07/2020 16,0.116,324,2,7,11,156,3,31,42,1.5
22/07/2020 17,0.116,288,2,7,10,166,3,31,41,1.6
22/07/2020 18,0.116,13,2,7,9,168,3,31,41,1.5
22/07/2020 19,0.116,287,2,9,11,150,3,29,48,1.2
22/07/2020 20,0.116,151,2,13,15,104,3,26,58,2
22/07/2020 21,0.116,169,2,14,15,89,3,24,65,1.9
22/07/2020 22,0.116,141,2,7,9,98,3,24,60,1.8
22/07/2020 23,0.116,181,2,6,8,98,3,23,71,1.5
23/07/2020 00,0.116,126,2,6,7,93,3,20,95,1.7
23/07/2020 01,0.116,140,2,5,7,85,3,19,95,1.3
23/07/2020 02,0.116,189,2,7,8,65,3,19,95,1.3
23/07/2020 03,0.116,178,2,7,9,43,3,19,95,1
23/07/2020 04,0.116,165,2,8,9,41,3,19,95,1.5
23/07/2020 05,0.116,127,2,9,11,38,3,19,95,1.5
23/07/2020 06,0.116,129,2,9,12,28,3,19,95,1.1
23/07/2020 07,0.116,51,3,9,13,37,3,21,88,1.1
23/07/2020 08,0.116,75,3,10,14,42,3,23,72,0.8
23/07/2020 09,0.116,292,3,11,16,54,3,24,66,1.4
23/07/2020 10,0.116,282,2,9,12,71,3,26,60,1.4
23/07/2020 11,0.116,282,2,6,9,88,3,27,54,2
23/07/2020 12,0.116,299,2,9,12,118,3,27,58,1.8
23/07/2020 13,0.116,292,2,8,11,131,3,28,53,3.2
23/07/2020 14,0.116,314,3,7,11,135,3,29,48,1.6
23/07/2020 15,0.116,287,3,7,12,150,3,30,49,1.8
23/07/2020 16,0.116,305,3,7,11,150,3,30,46,1.4
23/07/2020 17,0.116,302,2,8,11,153,3,30,46,1.2
23/07/2020 18,0.116,287,2,8,11,158,3,29,49,1.1
23/07/2020 19,0.116,286,2,9,11,148,3,28,53,0.8
23/07/2020 20,0.116,134,2,11,13,107,3,26,69,0.6
23/07/2020 21,0.2,125,2,13,15,91,3,24,79,0.8
23/07/2020 22,0.116,116,2,11,13,96,3,24,77,1.2
23/07/2020 23,0.116,109,2,12,14,86,3,23,79,1
24/07/2020 00,0.116,111,2,11,13,74,3,22,84,1
24/07/2020 01,0.116,106,2,9,11,70,3,22,85,0.9
24/07/2020 02,0.116,49,2,11,13,73,3,22,84,0.8
24/07/2020 03,0.116,169,2,6,8,90,3,22,73,1.2
24/07/2020 04,0.116,157,2,6,7,95,3,22,66,1.5
24/07/2020 05,0.116,165,2,8,9,87,3,21,70,1
24/07/2020 06,0.116,172,2,7,9,81,3,21,73,1.1
24/07/2020 07,0.116,123,2,11,13,67,3,20,82,1.1
24/07/2020 08,0.116,53,2,8,10,73,3,18,92,2
24/07/2020 09,0.116,124,2,10,12,68,3,17,95,0.9
24/07/2020 10,0.116,189,2,11,14,55,3,17,95,1
24/07/2020 11,0.116,144,2,6,8,75,3,19,95,1.6
24/07/2020 12,0.116,166,2,5,7,74,3,22,80,1.4
24/07/2020 13,0.116,268,3,5,9,72,3,23,63,1.3
24/07/2020 14,0.116,26,2,4,6,70,3,22,66,1.4
24/07/2020 15,0.116,50,2,5,8,68,3,23,65,1.6
24/07/2020 16,0.116,332,2,7,9,62,3,23,64,1.2
24/07/2020 17,0.116,46,2,7,9,66,3,23,62,1.2
24/07/2020 18,0.116,128,2,8,11,58,3,23,64,0.6
24/07/2020 19,0.116,107,2,13,15,44,3,22,71,0.5
24/07/2020 20,0.116,128,2,11,13,45,3,21,72,0.6
24/07/2020 21,0.116,142,2,12,14,34,3,20,82,0.7
24/07/2020 22,0.116,156,2,12,13,30,3,19,84,0.6
24/07/2020 23,0.116,56,2,10,12,33,3,19,84,0.8
25/07/2020 00,0.116,61,2,12,14,32,3,19,82,0.6
25/07/2020 01,0.116,110,2,14,16,22,3,17,91,0.6
25/07/2020 02,0.116,112,2,15,17,23,3,17,93,0.6
25/07/2020 03,0.116,116,2,11,13,21,3,17,94,0.7
25/07/2020 04,0.116,106,2,9,11,27,3,17,92,0.9
25/07/2020 05,0.116,168,2,13,15,22,3,16,91,0.9
25/07/2020 06,0.116,127,2,12,15,20,3,16,92,0.7
25/07/2020 07,0.116,124,3,9,13,32,3,19,77,0.7
25/07/2020 08,0.116,129,4,10,15,36,3,22,65,0.7
25/07/2020 09,0.116,290,4,10,16,41,3,24,57,0.5
25/07/2020 10,0.116,267,2,6,9,56,3,25,50,1
25/07/2020 11,0.116,11,2,5,8,69,3,26,43,1.6
25/07/2020 12,0.116,280,3,6,11,79,3,26,48,1.3
25/07/2020 13,0.116,289,3,7,11,100,3,27,48,1
25/07/2020 14,0.116,290,3,6,11,109,3,28,46,0.9
25/07/2020 15,0.116,302,3,5,10,108,3,28,41,0.8
25/07/2020 16,0.116,289,3,5,10,110,3,29,41,0.9
25/07/2020 17,0.116,290,3,5,10,118,3,28,42,0.8
25/07/2020 18,0.116,284,2,5,9,118,3,28,42,0.6
25/07/2020 19,0.116,278,2,7,9,114,3,27,47,0.5
25/07/2020 20,0.2,123,2,13,16,76,3,24,65,0.4
25/07/2020 21,0.116,129,2,12,14,77,3,23,70,0.5
25/07/2020 22,0.116,143,2,11,13,74,3,22,74,0.5
25/07/2020 23,0.116,106,2,12,13,78,3,21,75,0.8
26/07/2020 00,0.116,99,2,13,14,68,3,20,78,0.5
26/07/2020 01,0.116,118,2,11,13,76,3,21,75,0.8
26/07/2020 02,0.116,165,2,10,12,72,3,20,74,0.9
26/07/2020 03,0.116,159,2,10,12,67,3,20,77,1.1
26/07/2020 04,0.116,125,2,9,10,66,3,19,79,0.9
26/07/2020 05,0.116,132,2,9,11,63,3,19,78,1
26/07/2020 06,0.116,123,2,11,13,60,3,19,77,1.1
26/07/2020 07,0.116,125,2,11,14,58,3,20,73,1
26/07/2020 08,0.116,153,3,11,15,59,3,22,67,0.8
26/07/2020 09,0.116,169,2,10,14,63,3,24,61,1.5
26/07/2020 10,0.116,165,2,9,13,71,3,25,56,0.7
26/07/2020 11,0.116,304,3,8,12,90,3,26,50,1
26/07/2020 12,0.116,299,3,8,13,102,3,27,49,0.9
26/07/2020 13,0.116,291,4,7,13,118,3,28,47,0.8
26/07/2020 14,0.116,302,4,7,13,130,3,28,46,0.9
26/07/2020 15,0.116,289,4,7,13,131,3,29,46,0.8
26/07/2020 16,0.116,299,4,5,12,128,3,30,43,0.6
26/07/2020 17,0.116,287,4,5,11,126,3,30,41,0.7
26/07/2020 18,0.116,271,4,5,11,125,3,29,41,0.6
26/07/2020 19,0.116,238,3,7,12,108,3,27,48,0.4
26/07/2020 20,0.2,112,3,12,17,79,3,25,62,0.3
26/07/2020 21,0.116,120,2,11,14,83,3,23,65,0.6
26/07/2020 22,0.116,105,2,11,12,91,3,23,65,0.7
26/07/2020 23,0.116,111,2,10,11,92,3,22,65,0.7
27/07/2020 00,0.116,198,2,11,12,68,3,21,74,0.3
27/07/2020 01,0.116,110,2,12,13,62,3,20,79,0.5
27/07/2020 02,0.116,146,2,11,12,68,3,21,75,0.7
27/07/2020 03,0.116,157,3,10,11,67,3,20,75,0.9
27/07/2020 04,0.116,155,2,11,12,62,3,20,78,1
27/07/2020 05,0.116,158,2,12,13,60,3,20,78,1.3
27/07/2020 06,0.116,164,2,14,16,56,3,20,78,1.1
27/07/2020 07,0.116,170,2,15,18,54,3,22,73,1.1
27/07/2020 08,0.116,178,3,13,17,57,3,23,65,0.6
27/07/2020 09,0.116,173,3,13,17,60,3,25,59,0.5
